1,Fundamentals of Wavelets,Jaideva,signal_processing
2,Data Smart,Foreman,data_science
3,God Created the Integers,Hawking,mathematics
4,Superfreakonomics,Dubner,economics
5,Orientalism,Said,history
6,Nature of Statistical Learning Theory,The Vapnik,data_science
7,Integration of the Indian States,Menon,history
